ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
1327.0999999990831,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1555156.0886473483,1111.5762246284614,1.5183966752374545e-05,1925491.1443331437,11735.327930285976,968010.2797009674,964.3072942986655,11.63338334331064,552.7909276694386,2856939.2856989433,-597550.4342395164,1729694.4257297134,1
1327.6199999990827,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1555733.1343839592,1111.181543940105,1.5165979675657582e-05,1925992.492286412,11741.376729774334,968297.684810696,963.9541417842727,11.63123070344907,552.6133825762686,2856939.285698947,-597550.4342394467,1729694.4257297502,1
1328.1199999990822,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1556287.792707074,1110.802242553252,1.5149389582802542e-05,1926474.3844910723,11747.19182765763,968573.9488348083,963.614752732469,11.629161441558034,552.442750863691,2856939.285701003,-597550.4342393869,1729694.425730808,1
1328.6399999990817,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1556864.4363895184,1110.4079761194816,1.5131231521081645e-05,1926975.3724217599,11753.238432074651,968861.1729387519,963.2619758028615,11.627010016205835,552.2653818955282,2856939.2857041657,-597550.4342392742,1729694.4257324457,1
1329.1599999990813,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1557440.8752643117,1110.0139205115302,1.5114374946278986e-05,1927476.1769572648,11759.283917911469,969148.3048353259,962.9093900186917,11.624859209297115,552.0881025629628,2856939.2857013894,-597550.4342394652,1729694.425730962,1
1329.6599999990808,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1557994.9503708342,1109.6352194844314,1.5097534742380958e-05,1927957.5469223773,11765.095830483264,969424.3062824281,962.5705452796118,11.622791708510643,551.9177261089501,2856939.2857073057,-597550.4342394164,1729694.4257339446,1
1330.1999999990803,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1558593.1390262307,1109.2264408075846,1.5079306649568025e-05,1928477.2362410454,11771.371535126666,969722.2921864783,962.204791000959,11.620559448926398,551.7338124127948,2856939.2857076437,-597550.4342396434,1729694.425734,1
1330.7199999990798,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1559168.964133576,1108.8330162211498,1.50619034684496e-05,1928977.4911888768,11777.41366715111,970009.1477360616,961.8527773194812,11.618410494501319,551.556801392635,2856939.2857046044,-597550.4342395242,1729694.4257325402,1
1331.2399999990794,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1559744.5848706365,1108.4398014895194,1.5044623978610616e-05,1929477.56313974,11783.454681879455,970295.9112632239,961.5009538980687,11.616262156587421,551.3798796045595,2856939.2857018984,-597550.4342396233,1729694.4257311376,1
1331.599999999079,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1560142.9718711372,1108.1676987169776,1.5031873772386461e-05,1929823.6596498024,11787.636268497157,970494.3859761957,961.2574951791094,11.614775206670984,551.2574475130157,2856939.285718613,-597550.4342396529,1729694.42573948,1
1332.1199999990786,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1560718.2469983352,1107.7748385756734,1.5014789823908359e-05,1930323.4221384851,11793.6753931484,970780.9938785611,960.9059932319333,11.612627911068179,551.0806765123504,2856939.285725705,-597550.434239422,1729694.4257431414,1
1332.639999999078,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1561293.31804694,1107.3821876401971,1.4996987374615856e-05,1930823.001895432,11799.7134013659,971067.5098825571,960.5546809528068,11.610481230721236,550.9039944745646,2856939.285737388,-597550.4342393335,1729694.4257490272,1
1333.1399999990776,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1561846.0786233088,1107.0048357300004,1.4980878404458053e-05,1931303.1948128548,11805.518125944769,971342.91941951,960.2170593433855,11.608417694839494,550.7341917060974,2856939.2857508073,-597550.4342390775,1729694.425755865,1
1333.6999999990771,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1562509.1425214834,1106.5371873534266,1.4960925000195857e-05,1931821.613605843,11811.786069771006,971640.2663827084,959.8391308412496,11.606107208919305,550.5441100342471,2856939.285758744,-597550.4342388222,1729694.425759961,1
1334.3199999990766,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1563194.02358599,1106.0849065448813,1.4941696463210974e-05,1932416.5925709843,11818.98111444451,971981.5427215731,959.434450671672,11.603632478208782,550.3405651953555,2856939.285732016,-597550.4342387215,1729694.4257475594,1
1334.919999999076,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1563856.5361133441,1105.6329028896089,1.4921486581442878e-05,1933011.3123524645,11826.17457390956,972322.6886949375,959.0165451575012,11.601076114217188,550.1303593738636,2856939.2857242106,-597550.4342386582,1729694.4257427761,1
1335.4999999990755,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1564452.5657499228,1105.2263362583724,1.4903262126608752e-05,1933567.4286209699,11832.902504580536,972641.7072981352,958.6258438775419,11.598685465482292,549.9338290236817,2856939.2857202943,-597550.4342386171,1729694.4257408385,1
1335.999999999075,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1565004.2494882825,1104.8500853410176,1.4886864846630488e-05,1934046.657369879,11838.701332089518,972916.6318701153,958.2892204075874,11.596625172745382,549.7644945003954,2856939.285726714,-597550.4342384386,1729694.4257441377,1
1336.5199999990746,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1565577.8012134433,1104.458987808141,1.4870517588860821e-05,1934544.8767701178,11844.73102007163,973202.463631286,957.9393164139651,11.59448306824532,549.5884731150287,2856939.285718627,-597550.434238413,1729694.425740107,1
1337.039999999074,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1566151.1497733989,1104.068097453297,1.4852950698696077e-05,1935042.9142686063,11850.759594313597,973488.2038835983,957.5896002378303,11.592341574997509,549.4125398526176,2856939.285708986,-597550.434238206,1729694.42573539,1
1337.5599999990736,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1566724.2952766619,1103.67741403731,1.4836248737992719e-05,1935540.7699636335,11856.787055138955,973773.8526739468,957.240071662911,11.590200692534715,549.2366946105984,2856939.2856944427,-597550.4342380998,1729694.4257281714,1
1338.0799999990732,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1567297.237830488,1103.2869373265423,1.4819023817835841e-05,1936038.4439530447,11862.8134028699,974059.4100473056,956.890730476734,11.588060420363114,549.0609372909148,2856939.285688856,-597550.434238159,1729694.4257253485,1
1338.5999999990727,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1567869.9775412017,1102.8966670813645,1.4801963516219985e-05,1936535.9363328912,11868.838637813054,974344.8760501456,956.5415764599346,11.585920758048212,548.8852677954777,2856939.2856796323,-597550.43423828,1729694.425720676,1
1339.1199999990722,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1568442.514516876,1102.5066030650157,1.478562717238674e-05,1937033.2472020707,11874.862760292955,974630.250727166,956.1926093963198,11.583781705121016,548.7096860264319,2856939.285668126,-597550.4342383246,1729694.4257149005,1
1339.6399999990717,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1569014.8488635276,1102.1167450440673,1.4768253095098771e-05,1937530.3766562776,11880.88577062022,974915.5341248602,955.8438290729047,11.581643261058696,548.5341918870245,2856939.2856622,-597550.4342383462,1729694.4257119268,1
